Unnamed: 0,MolWt,FpDensityMorgan1,PEOE_VSA7,BCUT2D_CHGLO,VSA_EState4,MinPartialCharge,BalabanJ,MolLogP,TPSA,PEOE_VSA6,EState_VSA4,BCUT2D_LOGPLOW,FractionCSP3,SMR_VSA7,NumRotatableBonds,SMR_VSA10,NHOHCount,EState_VSA6,EState_VSA2,SlogP_VSA3,NumHAcceptors,SlogP_VSA1,RingCount,fr_allylic_oxid,"CC50, mM"
221,251.298,1.133333333333333,12.13273413692322,-2.183961779354284,5.179467592592593,-0.3977759365435894,2.497984303911453,3.485400000000001,26.02,0.0,22.46755775747296,-2.08004615932617,0.3333333333333333,17.69618562862022,0,29.2111561734658,2,0.0,5.687386274683562,6.176298517443475,3,5.733667477162185,2,0,116.5964965339403
222,376.4250000000001,1.208333333333333,38.06389019460039,-2.145753077024948,-0.7976945809187868,-0.3247328727351911,1.810983033740166,3.766200000000002,49.41,22.67357175586947,60.73746195046986,-2.246831555754808,0.4666666666666667,26.54690460860119,4,43.66797759284275,1,0.0,26.77148933933933,10.9708357015153,5,9.37297039991548,3,0,74.38460026247137
223,392.4240000000001,1.24,12.13273413692322,-2.256891030047741,-0.8354798409262694,-0.3787927365322514,1.767136716800939,3.002600000000001,58.64,22.67357175586947,47.89581870461785,-2.37536639677434,0.4666666666666667,26.54690460860119,4,43.66797759284275,1,0.0,26.77148933933933,15.70769865531534,6,9.37297039991548,3,0,103.7148783707336
224,390.4520000000001,1.16,38.06389019460039,-2.255071141140731,-0.7942595572817432,-0.3247328727351911,1.767136716800939,4.156300000000003,49.41,29.09439337879548,60.73746195046986,-2.321355756037337,0.5,26.54690460860119,4,43.66797759284275,1,0.0,26.77148933933933,10.9708357015153,5,9.37297039991548,3,0,34.31946297723903
225,251.254,1.2,12.13273413692322,-2.066965219951793,4.630162037037038,-0.397528126807853,2.776019830510351,2.924,43.09,22.67357175586947,34.80630589279269,-2.047130043239413,0.125,26.54690460860119,0,37.76079786349124,2,0.0,14.44348798706181,6.176298517443475,4,9.789849273071335,2,0,212.1393034825871
226,376.4250000000001,1.166666666666667,38.06389019460039,-2.252215603383011,-0.8032343106995885,-0.3236471316874944,1.863922914992512,3.766200000000002,49.41,29.09439337879548,67.15828357339586,-2.364056838959606,0.4666666666666667,26.54690460860119,3,43.66797759284275,1,0.0,26.8954241223259,10.9708357015153,5,9.37297039991548,3,0,531.318573303367
227,350.4580000000003,1.192307692307692,79.04502245796512,-2.559335543065516,4.418169253163027,-0.489106384800468,1.404938487991839,5.043000000000005,39.44,19.92349450621513,48.30038007731113,-2.484330328857524,0.5217391304347826,51.39525232883177,3,10.96924435610704,0,0.0,5.625586319077987,12.84164324585202,3,10.36244927287804,6,1,856.0129200883405
228,336.4310000000002,1.24,72.6242008350391,-2.559334344925756,4.386141503005907,-0.489106384800468,1.402683421512608,4.652900000000004,39.44,19.92349450621513,41.87955845438512,-2.484329208414236,0.5,51.39525232883177,3,10.96924435610704,0,0.0,5.625586319077987,12.84164324585202,3,10.36244927287804,6,1,980.8729769494851
229,306.3610000000002,0.9565217391304348,48.94292361202126,-2.160312891039379,3.5758563892984,-0.4887724351460734,1.668898527286805,4.250800000000003,39.44,30.33183534230805,53.50937701454373,-2.152718143801662,0.25,75.64141452593368,3,10.96924435610704,0,0.0,5.625586319077987,19.44852521036494,3,10.36244927287804,4,0,1077.146540890767
230,266.296,1.05,30.18337432000784,-2.072216272434772,2.222150243068354,-0.4887724351744068,1.876643544575042,3.680420000000002,39.44,30.33183534230805,16.51312719785879,-1.98680265376555,0.1176470588235294,76.1443301026983,3,10.96924435610704,0,6.06636706846161,5.625586319077987,6.606881964512918,3,10.36244927287804,3,0,1239.208558800446
